iter	RMSE
0	524.4532848
1	522.1754047
2	519.3760116
3	515.8584134
4	512.0878284
5	509.4615857
6	506.1916498
7	502.5402815
8	499.4199618
9	496.372356
10	494.5287029
11	491.088
12	488.1091575
13	484.6394469
14	480.7287331
15	478.0184741
16	474.7949236
17	471.9991423
18	469.3314976
19	466.3568628
20	462.7768818
21	459.124568
22	456.5391912
23	454.4340686
24	452.0899591
25	449.5980288
26	447.2387938
27	444.027549
28	441.7012799
29	439.1175421
30	435.7592837
31	434.3911325
32	432.0303178
33	429.7093528
34	426.6023757
35	424.3189365
36	421.8886047
37	419.2280953
38	416.5621803
39	414.4564023
40	412.0362314
41	409.5683094
42	407.4014755
43	405.6318395
44	403.5711086
45	401.4768237
46	398.6397474
47	396.5041908
48	393.9790995
49	391.6162991
50	389.3649344
51	387.6183483
52	385.6925559
53	383.1832561
54	380.4099689
55	378.3206631
56	375.9932311
57	373.8839752
58	371.4748708
59	369.1091767
60	367.1678169
61	365.0336231
62	363.0022911
63	361.4693156
64	359.9394227
65	357.3213007
66	354.7292016
67	352.0312023
68	349.1402514
69	347.6564319
70	345.6503765
71	343.0291539
72	340.4635605
73	339.0232775
74	336.9820847
75	334.4113604
76	332.6827473
77	331.2885494
78	329.5304009
79	328.1272402
80	326.5236537
81	324.5532591
82	322.8648789
83	321.3237164
84	319.0328059
85	317.806861
86	316.0647181
87	314.8146113
88	313.480233
89	312.1912255
90	310.3632921
91	308.5646469
92	306.8785737
93	305.3164245
94	303.4383116
95	301.8636128
96	299.6288952
97	297.4470449
98	295.3672875
99	294.3830128
100	293.3540059
101	291.1619943
102	288.7114043
103	287.2874411
104	285.4175813
105	283.9141431
106	282.018693
107	280.6061502
108	279.3193048
109	277.3504368
110	275.6553429
111	273.5051629
112	271.6885251
113	270.2093159
114	268.8308056
115	267.6274298
116	266.3291396
117	264.8733015
118	263.6489962
119	261.7925048
120	259.7580078
121	258.7892577
122	257.3461243
123	255.8104146
124	253.418256
125	252.3855985
