iter	Passed	Remaining
0	147	147086
1	148	74159
2	149	49807
3	151	37785
4	153	30463
5	154	25661
6	156	22203
7	160	19940
8	164	18088
9	166	16437
10	167	15053
11	169	13986
12	171	12986
13	174	12312
14	179	11783
15	185	11409
16	191	11070
17	197	10757
18	202	10442
19	204	10018
20	208	9719
21	210	9359
22	212	9011
23	213	8676
24	214	8377
25	216	8104
26	217	7835
27	219	7606
28	220	7391
29	222	7179
30	223	6985
31	225	6818
32	227	6666
33	228	6490
34	230	6358
35	233	6247
36	237	6174
37	238	6046
38	243	6011
39	245	5892
40	247	5778
41	248	5660
42	249	5548
43	250	5445
44	254	5394
45	259	5387
46	261	5297
47	262	5197
48	265	5146
49	266	5063
50	270	5031
51	277	5056
52	281	5032
53	282	4952
54	283	4875
55	284	4802
56	288	4770
57	289	4705
58	296	4730
59	297	4665
60	306	4718
61	316	4788
62	332	4949
63	334	4885
64	335	4825
65	336	4764
66	338	4708
67	339	4652
68	340	4599
69	342	4548
70	344	4501
71	349	4507
72	352	4477
73	364	4557
74	374	4615
75	378	4605
76	380	4557
77	384	4542
78	386	4500
79	389	4474
80	392	4455
81	394	4420
82	396	4385
83	398	4343
84	400	4309
85	401	4270
86	403	4236
87	405	4202
88	407	4169
89	411	4157
90	413	4134
91	416	4112
92	417	4074
93	430	4146
94	433	4130
95	434	4093
96	436	4059
97	440	4051
98	445	4056
99	446	4022
100	448	3995
101	450	3969
102	454	3957
103	455	3927
104	457	3898
105	458	3867
106	459	3837
107	461	3808
108	462	3783
109	464	3758
110	465	3728
111	466	3697
112	467	3672
113	472	3668
114	473	3642
115	474	3618
116	476	3596
117	477	3572
118	480	3559
119	484	3549
120	485	3525
121	487	3510
122	490	3497
123	492	3478
124	494	3459
125	496	3444
126	498	3423
127	499	3402
128	501	3384
129	502	3362
130	505	3352
131	506	3333
132	508	3315
133	510	3296
134	511	3277
135	513	3260
136	514	3242
137	516	3224
138	517	3206
139	520	3197
140	522	3183
141	524	3166
142	524	3145
143	528	3141
144	529	3124
145	531	3108
146	533	3094
147	539	3105
148	549	3140
149	551	3126
150	555	3124
151	557	3109
152	559	3095
153	561	3081
154	570	3109
155	571	3093
156	578	3107
157	580	3091
158	581	3075
159	582	3058
160	595	3103
161	596	3087
162	612	3147
163	617	3148
164	634	3212
165	639	3210
166	641	3198
167	644	3190
168	647	3184
169	648	3167
170	650	3153
171	654	3148
172	656	3138
173	659	3131
174	665	3137
175	670	3138
176	671	3122
177	673	3111
178	675	3099
179	678	3089
180	679	3074
181	683	3071
182	685	3060
183	686	3045
184	688	3032
185	689	3018
186	691	3004
187	692	2990
188	693	2976
189	695	2963
190	696	2951
191	698	2940
192	700	2929
193	702	2920
194	704	2909
195	706	2897
196	707	2884
197	709	2871
198	710	2860
199	712	2849
200	716	2846
201	717	2834
202	721	2833
203	726	2833
204	727	2820
205	729	2812
206	730	2798
207	732	2788
208	733	2777
209	735	2768
210	737	2759
211	739	2750
212	741	2741
213	744	2736
214	747	2728
215	749	2719
216	750	2709
217	752	2699
218	754	2689
219	755	2679
220	757	2670
221	759	2662
222	762	2658
223	765	2650
224	767	2643
225	769	2635
226	772	2629
227	774	2622
228	777	2617
229	779	2609
230	781	2600
231	782	2591
232	784	2581
233	785	2572
234	788	2565
235	790	2559
236	792	2552
237	805	2579
238	827	2635
239	835	2646
240	843	2655
241	844	2644
242	847	2639
243	853	2645
244	856	2639
245	858	2629
246	859	2620
247	863	2619
248	869	2621
249	870	2612
250	876	2614
251	878	2606
252	879	2598
253	881	2588
254	883	2580
255	884	2571
256	887	2566
257	889	2557
258	890	2547
259	894	2544
260	895	2535
261	896	2525
262	899	2520
263	901	2511
264	902	2502
265	905	2499
266	907	2491
267	910	2485
268	912	2479
269	915	2474
270	921	2479
271	922	2470
272	924	2461
273	925	2452
274	929	2451
275	931	2444
276	934	2437
277	935	2429
278	937	2421
279	938	2412
280	939	2403
281	940	2395
282	942	2387
283	944	2380
284	945	2372
285	950	2373
286	952	2365
287	953	2357
288	955	2349
289	956	2341
290	957	2333
291	959	2326
292	960	2318
293	961	2309
294	963	2303
295	966	2299
296	968	2291
297	969	2283
298	971	2276
299	972	2268
300	973	2261
301	974	2253
302	977	2249
303	984	2253
304	986	2247
305	991	2248
306	995	2247
307	1000	2247
308	1005	2248
309	1008	2244
310	1010	2238
311	1017	2244
312	1019	2237
313	1025	2240
314	1027	2235
315	1029	2228
316	1037	2234
317	1043	2238
318	1050	2241
319	1054	2239
320	1057	2237
321	1059	2230
322	1066	2235
323	1071	2234
324	1080	2243
325	1085	2243
326	1089	2241
327	1090	2233
328	1091	2225
329	1093	2219
330	1097	2217
331	1101	2215
332	1110	2225
333	1111	2217
334	1113	2209
335	1114	2201
336	1120	2205
337	1128	2210
338	1130	2203
339	1141	2214
340	1143	2210
341	1146	2204
342	1156	2214
343	1159	2211
344	1161	2205
345	1163	2198
346	1164	2192
347	1166	2185
348	1168	2179
349	1172	2176
350	1175	2174
351	1177	2166
352	1178	2160
353	1179	2153
354	1181	2146
355	1183	2140
356	1185	2134
357	1186	2128
358	1188	2122
359	1190	2116
360	1192	2110
361	1195	2107
362	1197	2102
363	1201	2098
364	1202	2092
365	1204	2086
366	1206	2081
367	1209	2077
368	1210	2070
369	1212	2063
370	1213	2057
371	1214	2050
372	1216	2045
373	1220	2042
374	1225	2042
375	1227	2037
376	1233	2038
377	1246	2051
378	1248	2045
379	1250	2041
380	1252	2034
381	1253	2027
382	1257	2026
383	1259	2020
384	1267	2025
385	1269	2018
386	1270	2013
387	1273	2008
388	1275	2003
389	1276	1996
390	1278	1991
