iter	Passed	Remaining
0	135	135663
1	136	68271
2	138	45882
3	139	34651
4	140	27876
5	141	23386
6	142	20170
7	143	17765
8	144	15898
9	145	14405
10	145	13125
11	147	12157
12	148	11290
13	149	10562
14	151	9933
15	152	9378
16	153	8901
17	155	8456
18	155	8038
19	156	7681
20	157	7363
21	159	7083
22	161	6849
23	162	6619
24	164	6400
25	165	6190
26	165	5977
27	166	5795
28	168	5625
29	169	5467
30	170	5332
31	172	5205
32	174	5100
33	175	4991
34	177	4888
35	178	4780
36	179	4678
37	181	4584
38	182	4500
39	183	4407
40	184	4324
41	186	4248
42	187	4169
43	189	4122
44	190	4053
45	192	3986
46	193	3917
47	194	3850
48	195	3794
49	196	3741
50	197	3680
51	199	3630
52	200	3581
53	201	3532
54	203	3494
55	204	3450
56	206	3414
57	207	3373
58	209	3338
59	210	3298
60	211	3261
61	213	3230
62	216	3217
63	218	3189
64	219	3161
65	221	3140
66	224	3123
67	225	3089
68	226	3054
69	228	3032
70	229	2999
71	230	2972
72	231	2942
73	234	2930
74	235	2904
75	236	2880
76	238	2854
77	239	2832
78	241	2809
79	241	2781
80	243	2758
81	244	2734
82	245	2714
83	246	2693
84	249	2686
85	251	2670
86	252	2650
87	254	2642
88	256	2626
89	258	2614
90	259	2595
91	260	2574
92	262	2559
93	263	2542
94	265	2528
95	266	2511
96	267	2494
97	269	2481
98	270	2465
99	272	2451
100	272	2429
101	274	2414
102	275	2398
103	276	2384
104	278	2369
105	279	2354
106	280	2340
107	282	2330
108	285	2332
109	286	2318
110	288	2307
111	290	2300
112	291	2290
113	294	2292
114	296	2280
115	297	2265
116	298	2249
117	298	2234
118	301	2231
119	302	2216
120	303	2203
121	304	2188
122	306	2184
123	309	2188
124	311	2180
125	313	2175
126	315	2170
127	316	2157
128	318	2147
129	319	2135
130	320	2127
131	324	2133
132	327	2133
133	328	2125
134	329	2113
135	330	2101
136	332	2092
137	333	2085
138	335	2076
139	336	2065
140	338	2061
141	340	2059
142	341	2046
143	342	2035
144	343	2025
145	344	2015
146	346	2013
147	348	2003
148	350	2001
149	351	1993
150	354	1991
151	356	1991
152	358	1982
153	359	1974
154	360	1965
155	361	1956
156	362	1948
157	364	1939
158	365	1932
159	366	1924
160	369	1923
161	371	1921
162	372	1913
163	375	1912
164	376	1903
165	377	1897
166	379	1893
167	381	1887
168	381	1878
169	383	1873
170	385	1868
171	387	1865
172	389	1863
173	390	1855
174	392	1848
175	393	1840
1176	412	19161177	414	19131178	415	1906179	399	1821
1180	420	1903
181	425	1913
182	429	1919
183	433	1923
184	436	1924
185	438	19181186	440	1913
187	441	1906
188	442	18981189	443	18921190	448	18981191	454	1913
192	456	1910
193	459	1910
194	466	1923
195	467	1917
196	470	1916
197	473	1917
198	475	1913
199	478	1913
200	480	1909
201	482	1904
202	483	1898
203	485	1893
204	486	1887
205	488	1882
206	489	1876
207	490	1869
208	492	1865
209	494	1861
210	496	1857
211	498	1851
212	499	1845
213	501	1840
214	503	1836
215	504	1830
216	505	1824
217	507	1820
218	510	1819
219	512	1816
220	514	1812
221	516	1808
222	517	1802
223	518	1796
224	519	1791
225	522	1787
226	524	1785
227	525	1779
228	527	1774
229	529	1771
230	530	1765
231	531	1759
232	532	1753
233	537	1758
234	538	1754
235	541	1751
